#collection _Primitives	Style
Colors/Blue/100	C	#dbeafe
Colors/Blue/200	C	#bfdbfe
Colors/Blue/300	C	#93c5fd
Colors/Blue/400	C	#60a5fa
Colors/Blue/500	C	#3b82f6
Colors/Blue/600	C	#2563eb
Colors/Blue/700	C	#1d4ed8
Colors/Blue/800	C	#1e40af
Colors/Blue/900	C	#1e3a8a
Colors/Blue/950	C	#172554
Colors/Indigo/50	C	#eef2ff
Colors/Indigo/100	C	#e0e7ff
Colors/Indigo/200	C	#c7d2fe
Colors/Indigo/300	C	#a5b4fc
Colors/Indigo/400	C	#818cf8
Colors/Indigo/500	C	#6366f1
Colors/Indigo/600	C	#4f46e5
Colors/Indigo/700	C	#4338ca
Colors/Indigo/800	C	#3730a3
Colors/Indigo/900	C	#312e81
Colors/Indigo/950	C	#1e1b4b
Colors/Violet/50	C	#f5f3ff
Colors/Violet/100	C	#ede9fe
Colors/Violet/200	C	#ddd6fe
Colors/Violet/300	C	#c4b5fd
Colors/Violet/400	C	#a78bfa
Colors/Violet/500	C	#8b5cf6
Colors/Violet/600	C	#7c3aed
Colors/Violet/700	C	#6d28d9
Colors/Violet/800	C	#5b21b6
Colors/Violet/900	C	#4c1d95
Colors/Violet/950	C	#2e1065
Colors/Purple/50	C	#faf5ff
Colors/Purple/100	C	#f3e8ff
Colors/Purple/200	C	#e9d5ff
Colors/Purple/300	C	#d8b4fe
Colors/Purple/400	C	#c084fc
Colors/Purple/500	C	#a855f7
Colors/Purple/600	C	#9333ea
Colors/Purple/700	C	#7e22ce
Colors/Purple/800	C	#6b21a8
Colors/Purple/900	C	#581c87
Colors/Purple/950	C	#3b0764
Colors/Fuchsia/50	C	#fdf4ff
Colors/Fuchsia/100	C	#fae8ff
Colors/Fuchsia/200	C	#f5d0fe
Colors/Fuchsia/300	C	#f0abfc
Colors/Fuchsia/400	C	#e879f9
Colors/Fuchsia/500	C	#d946ef
Colors/Fuchsia/600	C	#c026d3
Colors/Fuchsia/700	C	#a21caf
Colors/Fuchsia/800	C	#86198f
Colors/Fuchsia/900	C	#701a75
Colors/Fuchsia/950	C	#4a044e
Colors/Pink/50	C	#fdf2f8
Colors/Pink/100	C	#fce7f3
Colors/Pink/200	C	#fbcfe8
Colors/Pink/300	C	#f9a8d4
Colors/Pink/400	C	#f472b6
Colors/Pink/500	C	#ec4899
Colors/Pink/600	C	#db2777
Colors/Pink/700	C	#be185d
Colors/Pink/800	C	#9d174d
Colors/Pink/900	C	#831843
Colors/Pink/950	C	#500724
Colors/Rose/50	C	#fff1f2
Colors/Rose/100	C	#ffe4e6
Colors/Rose/200	C	#fecdd3
Colors/Rose/300	C	#fda4af
Colors/Rose/400	C	#fb7185
Colors/Rose/500	C	#f43f5e
Colors/Rose/600	C	#e11d48
Colors/Rose/700	C	#be123c
Colors/Rose/800	C	#9f1239
Colors/Rose/900	C	#881337
Colors/Rose/950	C	#4c0519
Colors/Slate/50	C	#f8fafc
Colors/Slate/100	C	#f1f5f9
Colors/Slate/200	C	#e2e8f0
Colors/Slate/300	C	#cbd5e1
Colors/Slate/400	C	#94a3b8
Colors/Slate/500	C	#64748b
Colors/Slate/600	C	#475569
Colors/Slate/700	C	#334155
Colors/Slate/800	C	#1e293b
Colors/Slate/900	C	#0f172a
Colors/Slate/950	C	#020617
Colors/Gray/50	C	#f9fafb
Colors/Zinc/50	C	#fafafa
Colors/Zinc/100	C	#f4f4f5
Colors/Zinc/200	C	#e4e4e7
Colors/Zinc/300	C	#d4d4d8
Colors/Zinc/400	C	#a1a1aa
Colors/Zinc/500	C	#71717a
Colors/Zinc/600	C	#52525b
Colors/Zinc/700	C	#3f3f46
Colors/Zinc/800	C	#27272a
Colors/Zinc/900	C	#18181b
Colors/Zinc/950	C	#09090b
Colors/Gray/100	C	#f3f4f6
Colors/Gray/200	C	#e5e7eb
Colors/Gray/300	C	#d1d5db
Colors/Gray/400	C	#9ca3af
